Respondent;Y;EAR_N;MAR_N;Circularity_N;MOE_N
1;0;-11.172.742.322.287.500;-0.7193209219325517;-0.4242389665571462;10.069.431.648.401.300
1;0;0.8111717028510094;11.419.219.635.679.100;11.421.818.330.384.600;-0.01403405107791439
1;0;0.30610252937773885;-0.4226010416353728;-0.7179428664813231;-0.9929091137622199
1;0;-0.7040358175688047;0.9261256869881512;0.22843636660769134;22.910.588.384.690.100
1;0;-5.754.727.552.301.500;0.4405840646836845;-38.834.182.323.307.700;15.269.047.572.767.400
1;0;-13.927.665.086.687.100;0.1708387189589791;-0.8811116997725326;2.659.452.679.264.180
1;0;-0.5203742999421609;-0.04495755762078823;0.35897143324066066;0.7332791688208621
1;0;0.30610252937773885;-11.778.880.096.645.400;-0.7179428664813231;-1.866.528.793.362.190
1;0;-13.927.665.086.687.100;-0.2877283687730201;-0.7179428664813231;2.048.971.457.375.040
1;0;-0.33671278231551455;-0.39562650706290525;-0.4568727332153863;0.03859364046425639
1;0;-0.933612714602107;-10.160.408.022.297.200;-16.969.558.662.285.700;0.32278317479196084
1;0;-0.933612714602107;-15.825.060.282.516.000;-0.03263376665824369;-0.3824278918730818
1;0;-0.5203742999421609;0.413609530111211;-0.750576633139565;13.016.582.374.762.600
1;0;-2.173.327.958.581.950;-11.509.134.750.920.700;-2.186.462.366.102.200;2.459.467.451.403.940
1;0;-0.933612714602107;-0.6383973182151371;-0.1631688332912094;0.7543302454377313
1;0;-0.5203742999421609;-0.9081426639398426;0.35897143324066066;-0.2561214321718804
1;0;0.12244101175109504;-10.699.898.713.746.600;0.22843636660769134;-14.665.583.376.417.200
1;0;-0.5203742999421609;-0.6383973182151371;0.5547740331901101;0.049119178772688676
1;0;-0.933612714602107;-10.699.898.713.746.600;-16.969.558.662.285.700;0.22805333001605624
1;0;0.3520179087843998;-14.206.588.208.167.800;-0.815844166456047;-21.717.694.043.067.700
1;0;-0.933612714602107;-0.7193209219325517;-0.3263376665824188;0.6701259389702591
1;0;0.3520179087843998;-26.345.128.765.779.500;-0.8811116997725326;-35.400.893.844.031.100
1;0;0.30610252937773885;-0.6383973182151371;0.587407799848352;-1.266.573.109.781.490
1;0;-17.600.895.439.220.000;-16.364.550.973.965.400;-156.642.079.959.561;10.490.453.180.738.600
1;0;-18.060.049.233.286.600;-22.029.203.234.184.300;-14.032.519.663.044.000;0.38593640464255924
1;0;-17.600.895.439.220.000;-228.384.392.713.584;-13.053.506.663.296.700;0.27015548324979005
1;0;-7.040.358.175.688.000;-228.384.392.713.584;-4.731.896.165.445.060;15.626.915.875.254.100
1;0;-18.060.049.233.286.600;-21.489.712.542.734.800;-14.032.519.663.044.000;0.43856409618472536
1;0;-50.200.814.817.949.200;-23.917.420.654.257.100;-3.459.179.265.773.630;778.538.983.547.127
1;0;-0.10713588528220976;-16.904.041.665.414.800;-0.26107013326593687;-18.244.266.401.284.600
1;0;-3.642.620.099.595.100;-23.647.675.308.532.500;-29.696.727.659.000.000;415.407.911.906.173
1;0;-0.887697335195446;-10.969.644.059.471.300;-0.48950649987362815;0.17542563847389014
1;0;-0.29079740290885614;-16.904.041.665.414.800;-0.5221402665318701;-15.402.371.058.007.600
1;0;-0.933612714602107;-0.9081426639398426;0.8158441664560452;0.44908963449315764
1;0;-0.29079740290885614;-10.699.898.713.746.600;-0.48950649987362815;-0.8350260391357216
1;0;0.30610252937773885;-14.476.333.553.892.500;0.45687273321538446;-214.019.278.938.147
1;0;-17.600.895.439.220.000;-18.522.513.739.763.100;-15.337.870.329.373.600;0.8174834752883298
1;0;-0.5203742999421609;-0.8541935947949044;-0.783210399797805;-0.20349374062971426
1;0;-17.600.895.439.220.000;-0.8541935947949044;-15.337.870.329.373.600;2.112.124.687.225.640
1;0;-11.631.896.116.354.100;-0.44957557620784633;-0.6526753331648376;1.396.388.082.252.170
1;0;-0.4744589205355;-0.9890662676572571;-0.9137454664307744;-0.3929534301815188
1;0;-18.060.049.233.286.600;-16.904.041.665.414.800;-16.969.558.662.285.700;1.027.994.241.456.990
1;0;-5.387.404.517.048.210;-17.713.277.702.588.900;-35.897.143.324.066.000;10.016.803.956.859.100
